	title	REVISADO (bibtex citation)	Google link
SRA-1101	Penstemon MSG sequences for phylogenomic analysis - set 2	Repetido de arriba 75	https://scholar.google.com/scholar?&q=Penstemon+MSG+sequences+for+phylogenomic+analysis+-+set+2
SRA-1161	Phylogenetic Framework of the Plant Family Acanthaceae	Thesis	https://scholar.google.com/scholar?&q=Phylogenetic+Framework+of+the+Plant+Family+Acanthaceae
SRA-1162	Phylogenetic Relationships Within and Delimitation of the Cosmopolitan Flowering Plant Genus Stellaria L. (Caryophyllaceae): Core Stars and Fallen Stars	@article{Sharples2019Dec,         author = {Sharples, Mathew T. and Tripp, Erin A.},         title = {{Phylogenetic Relationships Within and Delimitation of the Cosmopolitan Flowering Plant Genus Stellaria L. (Caryophyllaceae): Core Stars and Fallen Stars}},         journal = {Systematic Botany},         volume = {44},         number = {4},         pages = {857--876},         year = {2019},         month = {Dec},         issn = {0363-6445},         publisher = {American Society of Plant Taxonomists},         doi = {10.1600/036364419X15710776741440},         abstract = {{Abstract— Stellaria (Caryophyllaceae, tribe Alsineae) is a cosmopolitan genus of herbaceous plants that heretofore has lacked a stable estimate of total number of species. Here, we attempted to sample all species currently recognized under the name Stellaria to determine which belong to a core Stellaria genus versus which are masquerading under this name and are instead more closely related to one of several outgroup lineages. Phylogenetic relationships inferred with RAD loci were recovered with generally high levels of support, regardless of age of specimens (here up to 98 yr) utilized for molecular work. Analyses resolved a monophyletic, core radiation of Stellaria that is sister to Cerastium and others. Within core Stellaria, of which we sampled ca. 87% of species, we recovered five primary lineages. However, current infrageneric hypotheses are incongruous with phylogenomic data, and most morphology-based infrageneric hypotheses break down in light of these results. Outside of core Stellaria we recovered numerous other species currently ascribed to Stellaria that are in need of revised generic placement. Based on current results, however, we propose several new taxonomic and nomenclatural renovations within core Stellaria and external to this group as contribution towards stabilization of generic boundaries in Alsineae. These modifications include description of a new genus of Caryophyllaceae from eastern Asia, Nubelaria , as well description of a new genus, Rabelera , to accommodate the lineage previously and more widely known as Stellaria holostea. Nine new combinations are proposed in the genera Adenonema, Cerastium, Mesostemma, Nubelaria, Rabelera, and core Stellaria. Additionally, one new status, one new synonymy, and lectotypes for four species are proposed. We estimate core Stellaria to consist of approximately 112 species, a decrease from many other published species counts. Our results lay a robust foundation for future evolutionary, phylogenetic, and morphological comparisons within Stellaria and among relatives.}} }	https://scholar.google.com/scholar?&q=Phylogenetic+Relationships+Within+and+Delimitation+of+the+Cosmopolitan+Flowering+Plant+Genus+Stellaria+L.+%28Caryophyllaceae%29%3A+Core+Stars+and+Fallen+Stars
SRA-1163	Phylogenetic analysis of Fragaria species	No existe	https://scholar.google.com/scholar?&q=Phylogenetic+analysis+of+Fragaria+species
SRA-1164	Phylogenetic signal detection from an ancient rapid radiation: Effects of noise reduction, long- branch attraction, and model selection in crown clade Apocynaceae	@article{Straub2014Nov,         author = {Straub, Shannon C. K. and Moore, Michael J. and Soltis, Pamela S. and Soltis, Douglas E. and Liston, Aaron and Livshultz, Tatyana},         title = {{Phylogenetic signal detection from an ancient rapid radiation: Effects of noise reduction, long-branch attraction, and model selection in crown clade Apocynaceae}},         journal = {Molecular Phylogenetics and Evolution},         volume = {80},         pages = {169--185},         year = {2014},         month = {Nov},         issn = {1055-7903},         publisher = {Academic Press},         doi = {10.1016/j.ympev.2014.07.020},         abstract = {{Crown clade Apocynaceae comprise seven primary lineages of lianas, shrubs, and herbs with a diversity of pollen aggregation morphologies including monads, tetrads, and pollinia, making them an ideal group for investigating the evolution and function of pollen packaging. Traditional molecular systematic approaches utilizing small amounts of sequence data have failed to resolve relationships along the spine of the crown clade, a likely ancient rapid radiation. The previous best estimate of the phylogeny was a five-way polytomy, leaving ambiguous the homology of aggregated pollen in two major lineages, the Periplocoideae, which possess pollen tetrads, and the milkweeds (Secamonoideae plus Asclepiadoideae), which possess pollinia. To assess whether greatly increased character sampling would resolve these relationships, a plastome sequence data matrix was assembled for 13 taxa of Apocynaceae, including nine newly generated complete plastomes, one partial new plastome, and three previously reported plastomes, collectively representing all primary crown clade lineages and outgroups. The effects of phylogenetic noise, long-branch attraction, and model selection (linked versus unlinked branch lengths among data partitions) were evaluated in a hypothesis-testing framework based on Shimodaira–Hasegawa tests. Discrimination among alternative crown clade resolutions was affected by all three factors. Exclusion of the noisiest alignment positions and topologies influenced by long-branch attraction resulted in a trichotomy along the spine of the crown clade consisting of Rhabdadenia + the Asian clade, Baisseeae + milkweeds, and Periplocoideae + the New World clade. Parsimony reconstruction on all optimal topologies after noise exclusion unambiguously supports parallel evolution of aggregated pollen in Periplocoideae (tetrads) and milkweeds (pollinia). Our phylogenomic approach has greatly advanced the resolution of one of the most perplexing radiations in Apocynaceae, providing the basis for study of convergent floral morphologies and their adaptive value. Graphical abstract Download : Download full-size image}} }	https://scholar.google.com/scholar?&q=Phylogenetic+signal+detection+from+an+ancient+rapid+radiation%3A+Effects+of+noise+reduction%2C+long-+branch+attraction%2C+and+model+selection+in+crown+clade+Apocynaceae
SRA-1165	Phylogenetic signatures of ecological divergence and leapfrog adaptive radiation in Espeletia	@article{Pouchon2021Jan,         author = {Pouchon, Charles and Lavergne, Sébastien and Fernández, Ángel and Alberti, Adriana and Aubert, Serge and Mavárez, Jesús},         title = {{Phylogenetic signatures of ecological divergence and leapfrog adaptive radiation in Espeletia}},         journal = {American Journal of Botany},         volume = {108},         number = {1},         pages = {113--128},         year = {2021},         month = {Jan},         issn = {0002-9122},         publisher = {John Wiley & Sons, Ltd},         doi = {10.1002/ajb2.1591},         abstract = {{PREMISE Events of accelerated species diversification represent one of Earth’s most celebrated evolutionary outcomes. Northern Andean high-elevation ecosystems, or páramos, host some plant lineages that have experienced the fastest diversification rates, likely triggered by ecological opportunities created by mountain uplifts, local climate shifts, and key trait innovations. However, the mechanisms behind rapid speciation into the new adaptive zone provided by these opportunities have long remained unclear. METHODS We address this issue by studying the Venezuelan clade of Espeletia, a species-rich group of páramo-endemics showing a dazzling ecological and morphological diversity. We performed several comparative analyses to study both lineage and trait diversification, using an updated molecular phylogeny of this plant group. RESULTS We showed that sets of either vegetative or reproductive traits have conjointly diversified in Espeletia along different vegetation belts, leading to adaptive syndromes. Diversification in vegetative traits occurred earlier than in reproductive ones. The rate of species and morphological diversification showed a tendency to slow down over time, probably due to diversity dependence. We also found that closely related species exhibit significantly more overlap in their geographic distributions than distantly related taxa, suggesting that most events of ecological divergence occurred at close geographic proximity within páramos. CONCLUSIONS These results provide compelling support for a scenario of small-scale ecological divergence along multiple ecological niche dimensions, possibly driven by competitive interactions between species, and acting sequentially over time in a leapfrog pattern.}} }	https://scholar.google.com/scholar?&q=Phylogenetic+signatures+of+ecological+divergence+and+leapfrog+adaptive+radiation+in+Espeletia
SRA-1166	Phylogenetic study of Peperomia (Piperaceae) of the Pacific	No existe	https://scholar.google.com/scholar?&q=Phylogenetic+study+of+Peperomia+%28Piperaceae%29+of+the+Pacific
SRA-1167	Phylogenetics and comparative plastome genomics of two of the largest genera of angiosperms, Piper and Peperomia (Piperaceae)	@article{Simmonds2021Oct,         author = {Simmonds, Sara E. and Smith, James F. and Davidson, Christopher and Buerki, Sven},         title = {{Phylogenetics and comparative plastome genomics of two of the largest genera of angiosperms, Piper and Peperomia (Piperaceae)}},         journal = {Molecular Phylogenetics and Evolution},         volume = {163},         pages = {107229},         year = {2021},         month = {Oct},         issn = {1055-7903},         publisher = {Academic Press},         doi = {10.1016/j.ympev.2021.107229},         abstract = {{Biological radiations provide unique opportunities to understand the evolution of biodiversity. One such radiation is the pepper plant family Piperaceae, an early-diverging and mega-diverse lineage that could serve as a model to study the diversification of angiosperms. However, traditional genetic markers lack sufficient variation for such studies, and testing hypotheses on poorly resolved phylogenetic frameworks becomes challenging. Limited genomic data is available for Piperaceae, which contains two of the largest genera of angiosperms, Piper (>2100 species) and Peperomia (>1300 species). To address this gap, we used genome skimming to assemble and annotate whole plastomes (152–161kbp) and >5kbp nuclear ribosomal DNA region from representatives of Piper and Peperomia. We conducted phylogenetic and comparative genomic analyses to study plastome evolution and investigate the role of hybridization in this group. Plastome phylogenetic trees were well resolved and highly supported, with a hard incongruence observed between plastome and nuclear phylogenetic trees suggesting hybridization in Piper. While all plastomes of Piper and Peperomia had the same gene content and order, there were informative structural differences between them. First, ycf1 was more variable and longer in Piper than Peperomia, extending well into the small single copy region by thousands of base pairs. We also discovered previously unknown structural variation in 14 out of 25 Piper taxa, tandem duplication of the trnH-GUG gene resulting in an expanded large single copy region. Other early-diverging angiosperms have a duplicated trnH-GUG, but the specific rearrangement we found is unique to Piper and serves to refine knowledge of relationships among early-diverging angiosperms. Our study demonstrates that genome skimming is an efficient approach to produce plastome assemblies for comparative genomics and robust phylogenies of species-rich plant genera. Graphical abstract Download : Download high-res image (177KB)Download : Download full-size image}} }	https://scholar.google.com/scholar?&q=Phylogenetics+and+comparative+plastome+genomics+of+two+of+the+largest+genera+of+angiosperms%2C+Piper+and+Peperomia+%28Piperaceae%29
SRA-1168	Phylogenomic analyses of gene flow between species of Achimenes (Gesneriaceae)	@article{Roberts2018Apr,         author = {Roberts, Wade R. and Roalson, Eric H.},         title = {{Phylogenomic analyses reveal extensive gene flow within the magic flowers (Achimenes)}},         journal = {American Journal of Botany},         volume = {105},         number = {4},         pages = {726--740},         year = {2018},         month = {Apr},         issn = {0002-9122},         publisher = {John Wiley & Sons, Ltd},         doi = {10.1002/ajb2.1058},         abstract = {{Premise of the Study The Neotropical Gesneriaceae is a lineage known for its colorful and diverse flowers, as well as an extensive history of intra- and intergeneric hybridization, particularly among Achimenes (the magic flowers) and other members of subtribe Gloxiniinae. Despite numerous studies seeking to elucidate the evolutionary relationships of these lineages, relatively few have sought to infer specific patterns of gene flow despite evidence of widespread hybridization. Methods To explore the utility of phylogenomic data for reassessing phylogenetic relationships and inferring patterns of gene flow among species of Achimenes, we sequenced 12 transcriptomes. We used a variety of methods to infer the species tree, examine gene tree discordance, and infer patterns of gene flow. Key Results Phylogenomic analyses resolve clade relationships at the crown of the lineage with strong support. In contrast to previous analyses, we recovered strong support for several new relationships despite a significant amount of gene tree discordance. We present evidence for at least two introgression events between two species pairs that share pollinators, and suggest that the species status of Achimenes admirabilis be reexamined. Conclusions Our study demonstrates the utility of transcriptome data for phylogenomic analyses, and inferring patterns of gene flow despite gene tree discordance. Moreover, these data provide another example of prevalent interspecific gene flow among Neotropical plants that share pollinators.}} }	https://scholar.google.com/scholar?&q=Phylogenomic+analyses+of+gene+flow+between+species+of+Achimenes+%28Gesneriaceae%29
SRA-1169	Phylogenomic relationship of sweet potato viruses from the western highlands of Kenya	@article{Wainaina2018Jul,         author = {Wainaina, James M. and Ateka, Elijah and Makori, Timothy and Kehoe, Monica A. and Boykin, Laura M.},         title = {{Phylogenomic relationship and evolutionary insights of sweet potato viruses from the western highlands of Kenya}},         journal = {PeerJ},         volume = {6},         pages = {e5254},         year = {2018},         month = {Jul},         issn = {2167-8359},         publisher = {PeerJ Inc.},         doi = {10.7717/peerj.5254},         abstract = {{Sweet potato is a major food security crop within sub-Saharan Africa where 90% of Africa production occurs. One of the major limitations of sweet potato production are viral infections. In this study, we used a combination of whole genome sequences from a field isolate obtained from Kenya and those available in GenBank. Sequences of four sweet potato viruses: Sweet potato feathery mottle virus (SPFMV), Sweet potato virus C (SPVC), Sweet potato chlorotic stunt virus (SPCSV), Sweet potato chlorotic fleck virus (SPCFV) were obtained from the Kenyan sample. SPFMV sequences both from this study and from GenBank were found to be recombinant. Recombination breakpoints were found within the Nla-Pro, coat protein and P1 genes. The SPCSV, SPVC, and SPCFV viruses from this study were non-recombinant. Bayesian phylogenomic relationships across whole genome trees showed variation in the number of well-supported clades; within SPCSV (RNA1 and RNA2) and SPFMV two well-supported clades (I and II) were resolved. The SPCFV tree resolved three well-supported clades (I–III) while four well-supported clades were resolved in SPVC (I–IV). Similar clades were resolved within the coalescent species trees. However, there were disagreements between the clades resolved in the gene trees compared to those from the whole genome tree and coalescent species trees. However the coat protein gene tree of SPCSV and SPCFV resolved similar clades to the genome and coalescent species tree while this was not the case in SPFMV and SPVC. In addition, we report variation in selective pressure within sites of individual genes across all four viruses; overall all viruses were under purifying selection. We report the first complete genomes of SPFMV, SPVC, SPCFV, and a partial SPCSV from Kenya as a mixed infection in one sample. Our findings provide a snap shot on the evolutionary relationship of sweet potato viruses (SPFMV, SPVC, SPCFV, and SPCSV) from Kenya as well as assessing whether selection pressure has an effect on their evolution.}} }	https://scholar.google.com/scholar?&q=Phylogenomic+relationship+of+sweet+potato+viruses+from+the+western+highlands+of+Kenya
SRA-1170	Phylogenomics of  Populus	@article{Wang2020Feb,         author = {Wang, Mingcheng and Zhang, Lei and Zhang, Zhiyang and Li, Mengmeng and Wang, Deyan and Zhang, Xu and Xi, Zhenxiang and Keefover-Ring, Ken and Smart, Lawrence B. and DiFazio, Stephen P. and Olson, Matthew S. and Yin, Tongming and Liu, Jianquan and Ma, Tao},         title = {{Phylogenomics of the genus Populus reveals extensive interspecific gene flow and balancing selection}},         journal = {New Phytologist},         volume = {225},         number = {3},         pages = {1370--1382},         year = {2019},         month = {Feb},         issn = {0028-646X},         publisher = {John Wiley & Sons, Ltd},         doi = {10.1111/nph.16215},         abstract = {{Phylogenetic analysis is complicated by interspecific gene flow and the presence of shared ancestral polymorphisms, particularly those maintained by balancing selection. In this study, we aimed to examine the prevalence of these factors during the diversification of Populus, a model tree genus in the Northern Hemisphere. We constructed phylogenetic trees of 29 Populus taxa using 80 individuals based on re-sequenced genomes. Our species tree analyses recovered four main clades in the genus based on consensus nuclear phylogenies, but in conflict with the plastome phylogeny. A few interspecific relationships remained unresolved within the multiple-species clade because of inconsistent gene trees. Our results indicated that gene flow has been widespread within each clade and also occurred among the four clades during their early divergence. We identified 45 candidate genes with ancient polymorphisms maintained by balancing selection. These genes were mainly associated with mating compatibility, growth and stress resistance. Both gene flow and selection-mediated ancient polymorphisms are prevalent in the genus Populus. These are potentially important contributors to adaptive variation. Our results provide a framework for the diversification of model tree genus that will facilitate future comparative studies.}} }	https://scholar.google.com/scholar?&q=Phylogenomics+of++Populus
SRA-1171	Phylogenomics of Artocarpus and select Moraceae from HybSeq (hybridization-based target enrichment) data. Raw sequence reads	Thesis	https://scholar.google.com/scholar?&q=Phylogenomics+of+Artocarpus+and+select+Moraceae+from+HybSeq+%28hybridization-based+target+enrichment%29+data.+Raw+sequence+reads
SRA-1172	Phylogenomics of Epidendrum (Orchidaceae, Asparagales)	No existe	https://scholar.google.com/scholar?&q=Phylogenomics+of+Epidendrum+%28Orchidaceae%2C+Asparagales%29
SRA-1173	Phylogenomics of Gesneriaceae using targeted capture of nuclear genes	@article{Ogutcen2021Apr,         author = {Ogutcen, Ezgi and Christe, Camille and Nishii, Kanae and Salamin, Nicolas and Möller, Michael and Perret, Mathieu},         title = {{Phylogenomics of Gesneriaceae using targeted capture of nuclear genes}},         journal = {Molecular Phylogenetics and Evolution},         volume = {157},         pages = {107068},         year = {2021},         month = {Apr},         issn = {1055-7903},         publisher = {Academic Press},         doi = {10.1016/j.ympev.2021.107068},         abstract = {{Gesneriaceae (ca. 3400 species) is a pantropical plant family with a wide range of growth form and floral morphology that are associated with repeated adaptations to different environments and pollinators. Although Gesneriaceae systematics has been largely improved by the use of Sanger sequencing data, our understanding of the evolutionary history of the group is still far from complete due to the limited number of informative characters provided by this type of data. To overcome this limitation, we developed here a Gesneriaceae-specific gene capture kit targeting 830 single-copy loci (776,754 bp in total), including 279 genes from the Universal Angiosperms-353 kit. With an average of 557,600 reads and 87.8% gene recovery, our target capture was successful across the family Gesneriaceae and also in other families of Lamiales. From our bait set, we selected the most informative 418 loci to resolve phylogenetic relationships across the entire Gesneriaceae family using maximum likelihood and coalescent-based methods. Upon testing the phylogenetic performance of our baits on 78 taxa representing 20 out of 24 subtribes within the family, we showed that our data provided high support for the phylogenetic relationships among the major lineages, and were able to provide high resolution within more recent radiations. Overall, the molecular resources we developed here open new perspectives for the study of Gesneriaceae phylogeny at different taxonomical levels and the identification of the factors underlying the diversification of this plant group. Graphical abstract Download : Download high-res image (72KB)Download : Download full-size image}} }	https://scholar.google.com/scholar?&q=Phylogenomics+of+Gesneriaceae+using+targeted+capture+of+nuclear+genes
SRA-1174	Phylogenomics of Icacinaceae	No existe	https://scholar.google.com/scholar?&q=Phylogenomics+of+Icacinaceae
SRA-1175	Phylogenomics of Neotropical Costaceae Nakai	@article{Valderrama2020Aug,         author = {Valderrama, Eugenio and Sass, Chodon and Pinilla-Vargas, Maria and Skinner, David and Maas, Paul J. M. and Maas-van de Kamer, Hiltje and Landis, Jacob B. and Guan, Clarice J. and Specht, Chelsea D.},         title = {{Unraveling the Spiraling Radiation: A Phylogenomic Analysis of Neotropical Costus L}},         journal = {Frontiers in Plant Science},         volume = {11},         year = {2020},         month = {Aug},         issn = {1664-462X},         publisher = {Frontiers},         doi = {10.3389/fpls.2020.01195},         abstract = {{The family of pantropical spiral gingers (Costaceae Nakai; c.125 spp.) can be used as a model to enhance our understanding of the mechanisms underlying Neotropical diversity. Costaceae has higher taxonomic diversity in South and Central America (c.65 Neotropical species, c.30 African, c.23 Southeast Asian), particularly due to a radiation of Neotropical species of the genus Costus L. (c.50 spp.). However, a well-supported phylogeny of the Neotropical spiral gingers including thorough sampling of proposed species encompassing their full morphologic and geographic variation is lacking, partly due to poor resolution recovered in previous analyses using a small sampling of loci. Here we use a phylogenomic approach to estimate the phylogeny of a sample of Neotropical Costaceae species using a targeted enrichment approach. Baits were designed to capture conserved elements variable at the species level using available genomic sequences of Costus species and relatives. We obtained 832 loci (generating 791,954 aligned base pairs and 31,142 parsimony informative sites) for samples that encompassed the geographical and/or morphological diversity of some recognized species. Higher support values that improve the results of previous studies were obtained when including all the available loci, even those producing unresolved gene trees and having a low proportion of variable sites. Concatenation and coalescent-based species trees methods converge in almost the same topology suggesting a robust estimation of the relationships, even under the high levels of gene tree conflict presented here. The bait set design here presented made inferring a robust phylogeny to test taxonomic hypotheses possible and will improve our understanding of the origins of the charismatic diversity of the Neotropical spiral gingers.}} }	https://scholar.google.com/scholar?&q=Phylogenomics+of+Neotropical+Costaceae+Nakai
SRA-1176	Phylogenomics of Nepenthes	@article{Murphy2020Mar,         author = {Murphy, Bruce and Forest, Félix and Barraclough, Timothy and Rosindell, James and Bellot, Sidonie and Cowan, Robyn and Golos, Michal and Jebb, Matthew and Cheek, Martin},         title = {{A phylogenomic analysis of Nepenthes (Nepenthaceae)}},         journal = {Molecular Phylogenetics and Evolution},         volume = {144},         pages = {106668},         year = {2020},         month = {Mar},         issn = {1055-7903},         publisher = {Academic Press},         doi = {10.1016/j.ympev.2019.106668},         abstract = {{Nepenthaceae is one of the largest carnivorous plant families and features ecological and morphological adaptations indicating an impressive adaptive radiation. However, investigation of evolutionary and taxonomic questions is hindered by poor phylogenetic understanding, with previous molecular studies based on limited loci and taxa. We use high-throughput sequencing with a target-capture methodology based on a 353-loci, probe set to recover sequences for 197 samples, representing 151 described or putative Nepenthes species. Phylogenetic analyses were performed using supermatrix and maximum quartet species tree approaches. Our analyses confirm five Western outlier taxa, followed by N. danseri, as successively sister to the remainder of the group. We also find mostly consistent recovery of two major Southeast Asian clades. The first contains common or widespread lowland species plus a Wallacean–New Guinean clade. Within the second clade, sects. Insignes and Tentaculatae are well supported, while geographically defined clades representing Sumatra, Indochina, Peninsular Malaysia, Palawan, Mindanao and Borneo are also consistently recovered. However, we find considerable conflicting signal at the site and locus level, and often unstable backbone relationships. A handful of Bornean taxa are inconsistently placed and require further investigation. We make further suggestions for a modified infra-generic classification of genus Nepenthes. Graphical abstract Download : Download high-res image (140KB)Download : Download full-size image}} }	https://scholar.google.com/scholar?&q=Phylogenomics+of+Nepenthes
SRA-1177	Phylogenomics of Ochnaceae	@article{Schneider2021Feb,         author = {Schneider, Julio V. and Jungcurt, Tanja and Cardoso, Domingos and Amorim, André Márcio and Töpel, Mats and Andermann, Tobias and Poncy, Odile and Berberich, Thomas and Zizka, Georg},         title = {{Phylogenomics of the tropical plant family Ochnaceae using targeted enrichment of nuclear genes and 250+ taxa}},         journal = {TAXON},         volume = {70},         number = {1},         pages = {48--71},         year = {2021},         month = {Feb},         issn = {0040-0262},         publisher = {John Wiley & Sons, Ltd},         doi = {10.1002/tax.12421},         abstract = {{Targeted capture of nuclear genes increasingly contributes to unravelling phylogenetic relationships that hitherto remained unresolved because of limitations of traditional Sanger sequencing. In particular, the study of tropical plant families has been compromised because they often rely on highly degraded DNA obtained from herbarium specimens. One such example is the pantropical Ochnaceae, which comprises 33 genera and approximately 550 species, occurring mostly in savannas and moist tropical forests. Here, we developed a set of baits covering about 660,000 bp from 275 nuclear genes used for the targeted enrichment based on all but one genus and more than 250 species. Using this novel dataset, we resolved the phylogenetic backbone of Ochnaceae, including that of Ochninae, and we established new relationships. Most importantly, our findings highlight that the neotropical and palaeotropical taxa of Sauvagesia form independent clades, requiring the re-erection of formerly separate genera. Ouratea and Ochna (both Ochninae), by far the most species-rich genera and represented by 120 and 41 species, respectively, came out as monophyletic. In contrast, the third-most species-rich genus, Campylospermum, is polyphyletic in two distinct clades. Ouratea, the only neotropical genus of Ochninae, was sister to the five palaeotropical genera of this subtribe. The bait kit developed in this study proved to be particularly useful for unravelling relationships within Ochninae, which includes about two-thirds of the species diversity in the family.}} }	https://scholar.google.com/scholar?&q=Phylogenomics+of+Ochnaceae
SRA-1178	Phylogenomics of Oleeae using low-depth sequencing	@article{Olofsson2019Jul,         author = {Olofsson, Jill K. and Cantera, Isabel and Van de Paer, Céline and Hong-Wa, Cynthia and Zedane, Loubab and Dunning, Luke T. and Alberti, Adriana and Christin, Pascal-Antoine and Besnard, Guillaume},         title = {{Phylogenomics using low-depth whole genome sequencing: A case study with the olive tribe}},         journal = {Molecular Ecology Resources},         volume = {19},         number = {4},         pages = {877--892},         year = {2019},         month = {Jul},         issn = {1755-098X},         publisher = {John Wiley & Sons, Ltd},         doi = {10.1111/1755-0998.13016},         abstract = {{Species trees have traditionally been inferred from a few selected markers, and genome-wide investigations remain largely restricted to model organisms or small groups of species for which sampling of fresh material is available, leaving out most of the existing and historical species diversity. The genomes of an increasing number of species, including specimens extracted from natural history collections, are being sequenced at low depth. While these data sets are widely used to analyse organelle genomes, the nuclear fraction is generally ignored. Here we evaluate different reference-based methods to infer phylogenies of large taxonomic groups from such data sets. Using the example of the Oleeae tribe, a worldwide-distributed group, we build phylogenies based on single nucleotide polymorphisms (SNPs) obtained using two reference genomes (the olive and ash trees). The inferred phylogenies are overall congruent, yet present differences that might reflect the effect of distance to the reference on the amount of missing data. To limit this issue, genome complexity was reduced by using pairs of orthologous coding sequences as the reference, thus allowing us to combine SNPs obtained using two distinct references. Concatenated and coalescence trees based on these combined SNPs suggest events of incomplete lineage sorting and/or hybridization during the diversification of this large phylogenetic group. Our results show that genome-wide phylogenetic trees can be inferred from low-depth sequence data sets for eukaryote groups with complex genomes, and histories of reticulate evolution. This opens new avenues for large-scale phylogenomics and biogeographical analyses covering both the extant and the historical diversity stored in museum collections.}} }	https://scholar.google.com/scholar?&q=Phylogenomics+of+Oleeae+using+low-depth+sequencing
SRA-1179	Phylogenomics of Vernonieae	@article{Siniscalchi2019Oct,         author = {Siniscalchi, Carolina M. and Loeuille, Benoit and Funk, Vicki A. and Mandel, Jennifer R. and Pirani, José R.},         title = {{Phylogenomics Yields New Insight Into Relationships Within Vernonieae (Asteraceae)}},         journal = {Frontiers in Plant Science},         volume = {10},         year = {2019},         month = {Oct},         issn = {1664-462X},         publisher = {Frontiers},         doi = {10.3389/fpls.2019.01224},         abstract = {{Asteraceae, or the sunflower family, is the largest family of flowering plants and is usually considered difficult to work with, not only due to its size, but also because of the abundant cases of polyploidy and ancient whole genome duplications. Traditional molecular systematics studies were often impaired by the low levels of variation found in chloroplast markers and the high paralogy of traditional nuclear markers like ITS. Next generation sequencing and novel phylogenomics methods, such as target capture and HybSeq have provided new ways of studying the phylogeny of the family with great success. While the resolution of the backbone of the family is in progress with some results already published, smaller studies focusing on internal clades of the phylogeny are important to increase sampling and allow morphological, biogeography and diversification analysis, as well as serving as basis to test the current infrafamilial classification. Vernonieae is one of the largest tribes in the family, accounting for approximately 1500 species. From the 1970s to the 1990s the tribe went through several reappraisals, mainly due to the splitting of the mega genus Vernonia into several smaller segregates. Only three phylogenetic studies focusing on the Vernonieae have been published to date, both using a few molecular markers, overall presenting low resolution and support in deepest nodes, and presenting conflicting topologies when compared. In this study, we present a first attempt at studying the phylogeny of Vernonieae using phylogenomics. Even though our sampling includes only around 4% of the diversity of the tribe, we achieved complete resolution of the phylogeny with high support recovering approximately 700 nuclear markers obtained through target capture. We also analyzed the effect of missing data using two different matrices with different number of markers, and the difference between concatenated and gene tree analysis.}} }	https://scholar.google.com/scholar?&q=Phylogenomics+of+Vernonieae
SRA-1180	Phylogenomics of the Andean tetraploid clade of the American Amaryllidaceae (subfamily Amaryllidioideae)	@article{Meerow2020,         author = {Meerow, Alan W. and Gardner, Elliot M. and Nakamura, Kyoko},         title = {{Phylogenomics of the Andean Tetraploid Clade of the American Amaryllidaceae (Subfamily Amaryllidoideae): Unlocking a Polyploid Generic Radiation Abetted by Continental Geodynamics}},         journal = {Frontiers in Plant Science},         volume = {11},         year = {2020},         publisher = {Frontiers Media SA},         doi = {10.3389/fpls.2020.582422},         abstract = {{One of the two major clades of the endemic American Amaryllidaceae subfam. Amaryllidoideae constitutes the tetraploid-derived (n = 23) Andean-centered tribes, most of which have 46 chromosomes. Despite progress in resolving phylogenetic relationships of the group with plastid and nrDNA, certain subclades were poorly resolved or weakly supported in those previous studies. Sequence capture using anchored hybrid enrichment was employed across 95 species of the clade along with five outgroups and generated sequences of 524 nuclear genes and a partial plastome. Maximum likelihood phylogenetic analyses were conducted on concatenated supermatrices, and coalescent-based species tree analyses were run on the gene trees, followed by hybridization network, age diversification and biogeographic analyses. The four tribes Clinantheae, Eucharideae, Eustephieae, and Hymenocallideae (sister to Clinantheae) are resolved in all analyses with > 90 and mostly 100% support, as are almost all genera within them. Nuclear gene supermatrix and species tree results were largely in concordance; however, some instances of cytonuclear discordance were evident. Hybridization network analysis identified significant reticulation in Clinanthus, Hymenocallis, Stenomesson and the subclade of Eucharideae comprising Eucharis, Caliphruria, and Urceolina. Our data support a previous treatment of the latter as a single genus, Urceolina, with the addition of Eucrosia dodsonii. Biogeographic analysis and penalized likelihood age estimation suggests an origin in the Cauca, Desert and Puna Neotropical bioprovinces for the complex in the mid-Oligocene, with more dispersals than vicariances in its history, but no extinctions. Hymenocallis represents the only instance of long-distance vicariance from the tropical Andean origin of its tribe Hymenocallideae. The absence of extinctions correlates with the lack of diversification rate shifts within the clade. The Eucharideae experienced a sudden lineage radiation ca. 10 Mya. We tie much of the divergences in the Andean-centered lineages to the rise of the Andes, and suggest that the Amotape—Huancabamba Zone functioned as both a corridor (dispersal) and a barrier to migration (vicariance). Several taxonomic changes are made. This is the largest DNA sequence data set to be applied within Amaryllidaceae to date.}} }	https://scholar.google.com/scholar?&q=Phylogenomics+of+the+Andean+tetraploid+clade+of+the+American+Amaryllidaceae+%28subfamily+Amaryllidioideae%29
